1,1,,,,,,
,,,,,,,
,,,,,,,
2,2,,,,,,
,,,,,,,
,,,,,,,
3,3,,,,,,
,,,,,,,
,,,,,,,
4,4,,,,,,
,,,,,,,
,,,,,,,
5,5,,,,,,
,,,,,,,
,,,,,,,
6,6,,,,,,
,,,,,,,
,,,,,,,
7,8,,,,,,
,,,,,,,
,,,,,,,
8,9,,,,,,
,,,,,,,
,,,,,,,
9,11,,,,,,
,,,,,,,
,,,,,,,
10,12,,,,,,
,,,,,,,
,,,,,,,
11,14,,,,,,
,,,,,,,
,,,,,,,
12,19,,,,,,
,,,,,,,
,,,,,,,
13,26,,,,,,
,,,,,,,
,,,,,,,
14,34,,,,,,
,,,,,,,
,,,,,,,
15,49,,,,,,
,,,,,,,
,,,,,,,
16,56,,,,,,
,,,,,,,
,,,,,,,
17,73,,,,,,
,,,,,,,
,,,,,,,
18,100,,,,,,
,,,,,,,
,,,,,,,
19,129,,,,,,
,,,,,,,
,,,,,,,
20,160,,,,,,
,,,,,,,
,,,,,,,
21,219,,,,,,
,,,,,,,
22,128,,,,,,
22,194,,,,,,
,,,,,,,
23,166,,,,,,
23,257,,,,,,
,,,,,,,
24,198,,,,,,
24,188,,,,,,
,,,,,,,
25,281,,,,,,
25,248,,,,,,
,,,,,,,
26,356,,,,,,
26,491,,,,,,
,,,,,,,
27,481,,,,,,
27,677,,,,,,
,,,,,,,
28,569,,,,,,
28,1046,,,,,,
,,,,,,,
29,858,,,,,,
29,1481,,,,,,
,,,,,,,
30,1106,,,,,,
30,1744,,,,,,
,,,,,,,
31,1105,,,,,,
31,1399,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
18,200,,,,,,
19,300,,,,,,
20,400,,,,,,
21,500,,,,,,
,,,,,,,
18,319,,18,5000,,18,53
19,335,,19,5600,,19,61
20,420,,20,9370,,20,85
21,480,,21,9765,,21,111
,,,,,,,
18,869,,,,,,
19,1720,,,,,,
20,2243,,,,,,
21,2968,,,,,,
